account_number,account_opening_dt,account_closing_dt,past_due_dt,days_past_due,writeoff_dt,writeoff_amt,impaired_dt,impaired_amt,current_margin,src_stm_cd,country_cd,customer_number,customer_relation_type,amount_type,amount_orig_currency,amount_rept_currency,bban,iban,distribution_channel,orig_currency_cd,orig_balance,eff_interest_rate,write_off_amt,recovery_date,recovered_amt,product_cd,total_principle_amt,total_interest_due,principle_amt,principle_interest_amt,penalty_interest_amt,processing_fees_amt,forb_measure_cd,forb_measure_desc,forb_closure_cd,forb_closure_desc,forb_closure_dt
3002022061611,14-01-2005,12-31-9999,11-03-2022,37,13-03-2022,0,17-04-2022,0,1010,SCANDINAVIAN_BANK,Norway,CSBNO20050114011,INDIVIDUAL,saving,NOK,NOK,BB20220417011,IB20220417011,BANK,NOK,112340,2,0,13-03-2022,0,CREDIT002,809000,809000,404500,1213500,500000,99,,,,,2958465
3002022061612,15-01-2006,12-31-9999,12-03-2022,36,14-03-2022,10213,17-04-2022,0,1011,SCANDINAVIAN_BANK,Denmark,CSBDK20060115012,INDIVIDUAL,saving,DKK,DKK,BB20220417012,IB20220417012,BANK,DKK,989000,3,10213,14-03-2022,10213,CREDIT003,954678,954678,477339,1432017,0,99,,,,,2958465
3002022061613,16-01-2007,12-31-9999,13-03-2022,35,15-03-2022,0,17-04-2022,0,1012,PARTNER_BANK,Finland,CPBFI20070116013,POA,overdraft,EUR,EUR,BB20220417013,IB20220417013,BANK,EUR,4356000,4,0,15-03-2022,0,CREDIT004,1234234,1234234,617117,1851351,0,99,,,,,2958465
3002022061614,17-01-2008,12-31-9999,14-03-2022,34,16-03-2022,0,17-04-2022,0,1013,PARTNER_BANK,Iceland,CPBIC20080117014,MINOR,saving,ISK,ISK,BB20220417014,IB20220417014,BANK,ISK,23450,5,0,16-03-2022,0,DEBIT002,0,0,0,0,0,0,STU,STUDENT,GRADUATE,WAITING FOR JOB,44668
3002022061615,18-01-2009,12-31-9999,15-03-2022,33,17-03-2022,0,17-04-2022,0,1014,PARTNER_BANK,Sweden,CPBSE20090118015,INDIVIDUAL,saving,SEK,SEK,BB20220417015,IB20220417015,BANK,SEK,56596,6,0,17-03-2022,0,FIXED001,0,0,0,0,0,0,,,,,2958465
3002022061616,19-01-2010,12-31-9999,16-03-2022,32,18-03-2022,0,17-04-2022,0,1015,PARTNER_BANK,Norway,CPBNO20100119016,INDIVIDUAL,saving,NOK,NOK,BB20220417016,IB20220417016,BANK,NOK,45465676,7,0,18-03-2022,0,FIXED002,0,0,0,0,0,0,,,,,2958465
3002022061617,20-01-2011,12-31-9999,17-03-2022,31,19-03-2022,2137,17-04-2022,4000,1016,PARTNER_BANK,Denmark,CPBDE20110120017,INDIVIDUAL,saving,DKK,DKK,BB20220417017,IB20220417017,BANK,DKK,435103,8,2137,19-03-2022,2137,DEBIT001,0,0,0,0,0,0,,,,,2958465
3002022061618,21-01-2012,12-31-9999,18-03-2022,30,20-03-2022,0,17-04-2022,0,1017,PARTNER_BANK,Finland,CPBFI20120121018,INDIVIDUAL,saving,EUR,EUR,BB20220417018,IB20220417018,BANK,EUR,3400,9,0,20-03-2022,0,DEBIT001,0,0,0,0,0,0,,,,,2958465
3002022061618,22-01-2013,12-31-9999,19-03-2022,29,21-03-2022,0,17-04-2022,0,1018,PARTNER_BANK,Iceland,CPBIC20130122019,INDIVIDUAL,saving,ISK,ISK,BB20220417019,IB20220417019,BANK,ISK,3000,1,0,21-03-2022,0,DEBIT001,0,0,0,0,0,0,,,,,2958465
3002022061618,23-01-2014,12-31-9999,20-03-2022,28,22-03-2022,0,17-04-2022,0,1019,PARTNER_BANK,Sweden,CPBSE20140123020,INDIVIDUAL,saving,SEK,SEK,BB20220417020,IB20220417020,BANK,SEK,34000,2,0,22-03-2022,0,DEBIT001,0,0,0,0,0,0,,,,,2958465
3002022061618,24-01-2015,12-31-9999,21-03-2022,27,23-03-2022,32560,17-04-2022,0,1020,PARTNER_BANK,Norway,CPBNO20150124021,INDIVIDUAL,saving,NOK,NOK,BB20220417021,IB20220417021,BANK,NOK,5358,3,32560,23-03-2022,32560,DEBIT001,0,0,0,0,0,0,,,,,2958465
3002022061618,25-01-2016,12-31-9999,22-03-2022,26,24-03-2022,0,17-04-2022,0,1021,PARTNER_BANK,Denmark,CPBDE20160125022,INDIVIDUAL,saving,DKK,DKK,BB20220417022,IB20220417022,BANK,DKK,98901,4,0,24-03-2022,0,DEBIT001,0,0,0,0,0,0,,,,,2958465
3002022061618,26-01-2017,12-31-9999,23-03-2022,25,25-03-2022,0,17-04-2022,0,1022,PARTNER_BANK,Finland,CPBFI20170126023,JOINT,saving,EUR,EUR,BB20220417023,IB20220417023,BANK,EUR,123000,5,0,25-03-2022,0,DEBIT001,0,0,0,0,0,0,,,,,2958465
3002022061618,27-01-2018,12-31-9999,24-03-2022,24,26-03-2022,0,17-04-2022,20000,1023,PARTNER_BANK,Iceland,CPBIC20180127024,JOINT,saving,ISK,ISK,BB20220417024,IB20220417024,BANK,ISK,435000,6,0,26-03-2022,0,DEBIT001,0,0,0,0,0,0,,,,,2958465
3002022061618,28-01-2019,12-31-9999,25-03-2022,23,27-03-2022,0,17-04-2022,0,1024,PARTNER_BANK,Sweden,CPBSE20190128025,INDIVIDUAL,saving,SEK,SEK,BB20220417025,IB20220417025,BANK,SEK,78790123,7,0,27-03-2022,0,DEBIT001,0,0,0,0,0,0,,,,,2958465
3002022061618,29-01-2020,12-31-9999,26-03-2022,22,28-03-2022,5700,17-04-2022,0,1025,PARTNER_BANK,Norway,CPBNO20200129026,INDIVIDUAL,saving,NOK,NOK,BB20220417026,IB20220417026,BANK,NOK,7860,8,5700,28-03-2022,5700,DEBIT001,0,0,0,0,0,0,,,,,2958465
